No.total,Serial No.,StationCo,Name_Kor,Name_Eng,River Syst,River name,Transmissi,Instrument,Address,Longitude,Latitude,Longitude_,Latitude_d,Beginning,Tidal,Elevation,Elevatio_1,Possible,Discharge,Drainage A,Distance f,Grade of,Remarks,Management,classifica,권역,Level,선정1,Final,확대지점,type,주의수위,경계수위,심각수위,기왕 최대수위,기왕 최대수위 사상,경계수위 초과유무,경계수위 초과사상,심각수위 초과유무,심각수위 초과사상,Hydro model,Rating curve,시나리오대상,Basic Model,Predict Rainfall Model,Scenario model,Representative,
439,439,3012602,세종시(햇무리교),Sejong-si(hattmurigyo),금강,금강,INMARSAT/M2M,레이더식/레이더식,세종특별자치시 연기면 세종리 햇무리교,127-17-57,36-29-57,127.2991667,36.49916667,2012-04-16,무,10.272,24.364,15,무,"6,905.54",106.17,최적, ,환경부,현재특보지점,금강,국가,현재특보지점,O,,본류,,8.5,11,13.7,12.29,,O,45122,X,,O,O,X,●,,,기본
440,440,3012605,세종시(금남교),Sejong-si(Geumnamgyo),금강,금강,VHF/M2M,레이더식/레이더식,세종특별자치시 연기면 세종리 금남교,127-16-15,36-28-40,127.2708333,36.47777778,1993-06-01,무,10.308,30.23,18,무,"6,946.35",102.49,최적, ,환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
441,441,3012607,세종시(도암교),Sejong-si(Doamgyo),금강,용수천,VHF/M2M,부자식/압력식,세종특별자치시 금남면 도암리 도암교,127-17-06,36-26-48,127.285,36.44666667,2007-01-01,무,20.325,27.44,5,무,86.49,3.54,최적, ,환경부,,금강,지방,추가,O,,지류,,2,2.5,4,3.07,,O,"2018-08-28, 2020-07-30, 2023-07-15",X,,O,O,X,●,○,,기본
442,442,3012608,세종시(세종보하),Sejong-si(SejongboHa),금강,금강,INMARSAT/M2M,레이더식/레이더식,세종특별자치시 연기면 세종리 학나래교,127-15-30,36-28-10,127.2583333,36.46944444,2012-06-07,무,-0.114,18.205,25.4,무,6950.64,101.13,우수, ,환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
443,443,3012609,세종시(산봉교),Sejong-si(Sanbonggyo),금강,대교천,VHF/M2M,레이더식,세종특별자치시 장군면 봉안리 산봉교,127-14-22,36-28-40,127.2394444,36.47777778,2007-01-01,무,18.064,28.016,6,무,63.08,2.42,최적, ,환경부,,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
444,444,3012612,공주시(마암리),Gongju-si(Maam-ri),금강,금강,VHF/M2M,부자식/기포식,충청남도 공주시 반포면 마암리(산 96-8번지 주변),127-12-32,36-26-06,127.2088889,36.435,1962-07-01,무,6.318,26.233,10,무,7138.45,94.39,최적,"- 목자판 유실로 일시운영정지(9.13~12.13) 및 영점표고 재설치에 따른 수위 및 영점표고(기존 EL.9.318m → 변경 EL.6.318m, 24.12.13. 10:10) 변경 - 일시운영정지(관측기기 고장 : 2023-09-14 00:10~2023-12-13 10:00)",환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
445,445,3012620,공주시(금강교),Gongju-SI(Geumganggyo),금강,금강,VHF/M2M,부자식/압력식,충청남도 공주시 금성동 금강교,127-07-29,36-28-02,127.1247222,36.46722222,1915-04-01,무,5.623,22.159,13,무,7213.34,85.94,최적, ,환경부,현재특보지점,금강,국가,현재특보지점,O,,본류,,9,11,12.8,12.14,,O,45122,X,,O,O,X,●,○,,기본
446,446,3012625,공주시(오인교),Gongju-si(Oingyo),금강,정안천,VHF/M2M,레이더식/압력식,충청남도 공주시 의당면 요룡리 오인교,127-07-37,36-31-39,127.1269444,36.5275,2008-01-01,무,18.093,23.681,5,유,118.18,6.71,최적, ,환경부,확대특보지점,금강,지방,확대특보지점,O,,지류,,3,4,4.7,4.09,,O,41136,X,,O,O,X,●,,,기본
447,447,3012633,공주시(공주보상),Gongju-si(GongjuboSang),금강,금강,VHF/M2M,부자식/압력식,충청남도 공주시 우성면 평목리 87-1,127-05-55,36-27-54,127.0986111,36.465,2010-03-30,무,0.083,20.402,18,무,7403.77,83,우수,"- 보 개방시 6.79m이하 관측불가로 일시운영정지 - 일시운영정지(보 모니터링에 따른 유수유입 불가 : 2022-10-16 22:50~2023-07-11 21:10, 2023-12-20 16:20~2024-01-01 00:00)",환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
448,448,3012634,공주시(공주보하),Gongju-si(GongjuboHa),금강,금강,VHF/M2M,레이더식/압력식,충청남도 공주시 우성면 평목리 87-1,127-05-46,36-27-39,127.0961111,36.46083333,2012-06-07,무,-0.126,20.858,17.95,무,7404.36,82.51,우수, ,환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
449,449,3012635,공주시(국재교),Gongju-si(Gukjaegyo),금강,유구천,VHF/M2M,레이더식/부자식,충청남도 공주시 사곡면 화월리 국재교,127-02-35,36-28-56,127.0430556,36.48222222,1993-06-01,무,14.177,22.57,6.3,유,257.42,8.24,최적, ,환경부,확대특보지점,금강,지방,확대특보지점,O,,지류,,5.1,6.1,7.8,1900-01-06 7:40,,O,"2012-08-15, 2023-07-15",X,,O,O,X,●,,,기본
450,450,3012650,청양군(신흥리),Cheongyang-gun(Sinheung-ri),금강,금강,VHF/M2M,레이더식/압력식,충청남도 청양군 목면 신흥리(46-1번지 주변),127-01-22,36-23-52,127.0227778,36.39777778,1962-07-01,무,2.063,17.203,14,무,7814.89,72.23,최적, ,환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
451,451,3012655,청양군(지천교),Cheongyang-gun(Gicheongyo),금강,지천,INMARSAT/M2M,압력식/레이더식,"충청남도 청양군 청양읍 적누리 지천교
(충청남도 청양군 청양읍 정좌리)",126-47-27,36-25-43,126.7908333,36.42861111,2011-01-01,무,77.052,83.716,3,유,88.26,35.3,최적, ,환경부,,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
452,452,3012662,청양군(백제보상),Cheongyang-gun(BaekjeboSang),금강,금강,VHF/M2M,부자식/압력식,충청남도 청양군 청남면 왕진리 77,126-57-15,36-19-41,126.9541667,36.32805556,2010-03-30,무,-0.017,16.649,13.8,무,7960.92,61.31,우수,"- 보 개방시 3.29m이하 관측불가로 일시운영정지 - 일시운영정지(보 모니터링에 따른 유수유입 불가 : 2023-09-24 07:50~2024-01-01 00:10, 2022-09-08 11:10~2023-07-12 03:10, 2022-09-24 07:50~2023-07-12 03:10)",환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
453,453,3012664,부여군(백제보하),Buyeo-gun(BaekjeboHa),금강,금강,VHF/M2M,압력식/압력식,충청남도 부여군 부여읍 정동리 산14-1,126-56-08,36-18-58,126.9355556,36.31611111,2012-06-07,무,0.045,12.397,11.7,무,7981.6,59.14,우수, ,환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
454,454,3012665,부여군(지천교),Buyeo-gun(Jicheongyo),금강,지천,VHF/M2M,부자식/레이더식,충청남도 부여군 은산면 회곡리 지천교,126-51-32,36-19-34,126.8588889,36.32611111,1973-01-01,무,5.598,15.666,8,유,209.03,7.9,우수, ,환경부,,금강,지방,추가,O,,지류,,4.8,5.5,7.6,7.77,,O,"2022-08-14, 2023-07-14, 2023-07-15",O,45122,O,O,X,●,○,,기본
455,455,3012674,부여군(송학교),Buyeo-gun(Songhakgyo),금강,금천,VHF/M2M,레이더식/레이더식,충청남도 부여군 남면 송학리 송학교,126-48-05,36-13-18,126.8013889,36.22166667,2013-01-01,무,4.158,13.843,6,유,62.19,10.2,최적, - 결측(동절기 결빙 : 2023-01-25 06:00~2023-01-31 13:30),환경부,,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
456,456,3012675,부여군(백제교),Buyeo-gun(Baekjegyo),금강,금강,VHF/M2M,부자식/레이더식,"충청남도 부여군 규암면 규암리 백제교
(충청남도 부여군 부여읍 구교리)",126-53-30,36-16-33,126.8916667,36.27583333,1915-08-01,무,0.76,13.177,12,무,8328.8,52.59,최적, ,환경부,현재특보지점,금강,국가,현재특보지점,O,,본류,,7.5,9,10.6,10.45,,O,"2023-07-15, 2023-07-16",X,,O,O,X,●,,,기본
457,457,3012680,부여군(석동교),Buyeo-gun(Seokdonggyo),금강,금천,VHF/M2M,부자식/압력식,충청남도 부여군 장암리 석동리 석동교,126-53-03,36-14-51,126.8841667,36.2475,1993-06-01,무,1.542,12.668,8,무,160.98,1.45,최적, ,환경부,,금강,지방,추가,O,,지류,,6.4,8.5,10.4,9.48,,O,45122,X,,O,O,X,●,,,기본
458,458,3012681,논산시(석성천교),Nonsan-si(Seokseongcheongyo),금강,석성천,VHF/M2M,레이더식/압력식,"충청남도 논산시 광석면 득윤리 석성천교 
(충청남도 부여군 석성면 증산리)",127-01-56,36-14-08,127.0322222,36.23555556,2013-01-01,무,3.115,11.6,9,무,56.93,11.61,우수,"- 음수 수위 방지를 위한 수위조정(+1.0m) 및 영점표고(기존 EL.4.099m → 변경 EL.3.115m, 24.01.01. 00:10) 변경 ",환경부,,금강,지방,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
459,459,3012685,부여군(반조원리),Buyeo-gun(Banjowon-ri),금강,금강,VHF/M2M,부자식/레이더식,충청남도 부여군 세도면 반조원리 549,126-58-34,36-11-47,126.9761111,36.19638889,1962-07-01,무,-0.001,8.836,8,무,8551.31,38.8,최적, ,환경부,,금강,국가,추가선정,,추가선정,본류,,,,,,,,,,,,,,,,,
460,460,3012690,논산시(동성교),Nonsan-si(Dongseonggyo),금강,석성천,VHF/M2M,레이더식/레이더식,"충청남도 논산시 성동면 우곤리 동성교 
(충청남도 부여군 석성면 석성리)",127-00-24,36-12-36,127.0066667,36.21,1993-06-01,무,0.532,13.855,10,무,130.71,2.83,최적, ,환경부,,금강,지방,추가,O,,지류,,6.4,8.1,9.7,8.54,,O,45122,X,,O,O,X,●,○,,기본
461,461,3013603,완주군(엄목1교),Wanju-gun(Eommok1gyo),금강,장선천,VHF/M2M,레이더식/레이더식,전라북도 완주군 운주면 완창리 643-3 엄목1교,127-15-36,36-06-15,127.26,36.10416667,2021-12-28,무,62.335,70.496,4,무,109.06,38.03,최적, ,환경부,확대특보지점,금강,지방,제외,,,지류,,,,,,,,,,,,,,,,,
462,462,3013605,논산시(인천교),Nonsan-si(Incheongyo),금강,논산천,INMARSAT/M2M,레이더식/레이더식,충청남도 논산시 양촌면 인천리 인천교,127-14-09,36-08-13,127.2358333,36.13694444,2011-01-01,무,45.015,51.748,6,유,137.77,29.4,우수, - 일시운영정지(교량보수공사 : 2022-11-04 13:00~2023-03-18 09:30),환경부,확대특보지점,금강,지방,확대특보지점,O,,지류,,3,3.5,4.7,4.41,,O,"2011-07-10, 2020-07-30, 2023-07-14",X,,O,O,X,●,,,기본
463,463,3013630,논산시(주곡교),Nonsan-si(Jugokgyo),금강,노성천,VHF/M2M,레이더식/레이더식,충청남도 논산시 상월면 주곡리 181-1 주곡교,127-08-42,36-16-52,127.145,36.28111111,2021-12-28,무,10.782,18.366,8,무,85,5.94,최적, ,환경부,확대특보지점,금강,국가,제외,,,지류,,,,,,,,,,,,,,,,,
464,464,3013665,논산시(풋개다리),Nonsan-si(Putgaedari),금강,노성천,VHF/M2M,레이더식,충청남도 논산시 광석면 항월리,127-07-48,36-14-01,127.13,36.23361111,2003-12-01,무,5.225,12.885,6,유,177.05,4.6,최적, - 일시운영정지(관측장비 이상 : 2023-09-30 22:30~2023-10-04 12:40),환경부,확대특보지점,금강,국가,확대특보지점,O,,지류,,4.5,5.5,7.1,5.87,,O,45121,X,,O,O,X,●,,,기본
465,465,3013668,논산시(아호교),Nonsan-si(Ahogyo),금강,논산천,VHF/M2M,부자식/레이더식,충청남도 논산시 덕지동 563,127-06-38,36-12-41,127.1105556,36.21138889,2023-05-01,무,2.17,11.793,10,무,255.76,12.1, ,- 신규관측소 ,환경부,,금강,국가,,,,지류,,,,,,,,,,,,,,,,,
466,466,3013670,논산시(논산대교),Nonsan-si(Nonsandaegyo),금강,논산천,VHF/M2M,레이더식/레이더식,충청남도 논산시 대교동 논산대교,127-04-49,36-12-35,127.0802778,36.20972222,1993-06-01,무,0.96,11.049,9.5,무,468.8,8.46,최적,- 영점표고검정수준점 변경(기존 EL.10.615m → 변경 EL.11.049m) ,환경부,현재특보지점,금강,국가,현재특보지점,O,,지류,,6,7.5,9.4,8.99,,O,"2023-07-14, 2023-07-15",X,,O,O,X,●,○,,기본
467,467,3013685,논산시(제내교),Nonsan-si(Jenaegyo),금강,강경천,VHF/M2M,레이더식,충청남도 논산시 채운면 채운리 제내교,127-02-15,36-08-38,127.0375,36.14388889,2003-12-01,무,1.07,9.344,7,무,117.39,3.6,최적," - 결측(동절기 결빙 : 2022-12-22 01:00~2023-01-08 09:00, 2023-01-24 00:10~2023-01-27 09:00)",환경부,,금강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
468,468,3014610,논산시(황산대교),Nonsan-si(Hwangsandaegyo),금강,금강,VHF/M2M,부자식/압력식,"충청남도 논산시 강경면 황산리 황산대교 
(충청남도 부여군 세도면 가회리)",127-00-26,36-09-14,127.0072222,36.15388889,1915-04-01,무,-1.131,13.579,15,무,9379.57,33.1,최적, ,환경부,현재특보지점,금강,국가,현재특보지점,O,,본류,,7,8,9.7,9.03,,O,"2023-07-15, 2023-07-16",X,,O,O,X,●,,,기본
469,469,3014650,부여군(입포리),Buyeo-gun(Ippo-ri),금강,금강,VHF/M2M,레이더식/압력식,충청남도 부여군 양화면 입포리 209-9,126-53-00,36-08-06,126.8833333,36.135,1919-06-01,무,0.354,9.265,7,무,9605.94,20.6,최적, ,환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
470,470,3014670,서천군(옥포리),Seocheon-gun(Okpo-ri),금강,금강,VHF/M2M,레이더식/압력식,충청남도 서천군 화양면 옥포리 528-8,126-46-53,36-02-10,126.7813889,36.03611111,1955-11-01,무,-1.192,6.775,6,무,9783.62,3.7,최적, ,환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
471,471,3014680,서천군(북원교),Seocheon-gun(Bukwongyo),금강,길산천,VHF/M2M,레이더식,충청남도 서천군 기산면 원길리 북원교,126-43-51,36-04-28,126.7308333,36.07444444,2006-01-01,무,0.347,9.448,6,무,64.88,6.7,최적, - 결측(관측기기 이상 : 2023-07-12 04:40~2023-07-12 11:00),환경부,,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
472,472,3101604,예산군(은사교),Yesan-gun(Eunsagyo),삽교천,무한천,INMARSAT/M2M,레이더식,충청남도 예산군 광시면 용두리 은사교,126-46-43,36-33-38,126.7786111,36.56055556,2010-01-01,무,21.066,29.857,4.6,유,125.81,43.38,최적,- 결측(동절기 결빙 : 2023-01-22 00:10~2023-02-01 10:30),환경부,,금강,국가,,,,지류,,,,,,,,,,,,,,,,,
473,473,3101613,예산군(서계양교),Yesan-gun(Seogyeyanggyo),삽교천,신양천,INMARSAT/M2M,부자식/레이더식,충청남도 예산군 신양면 녹문리 서계양교,126-51-36,36-36-23,126.86,36.60638889,2010-01-01,무,23.851,29.918,5,유,154.07,3.65,최적,- 영점표고 확인 측량 결과 반영(EL.23.822m→EL.23.851m) ,환경부,확대특보지점,금강,지방,확대특보지점,O,,지류,,4.1,5.3,6.5,4.36,44046.63889,X,,X,,O,O,O,○,,●,시나리오
474,474,3101625,예산군(예산대교),Yesan-gun(Yesandaegyo),삽교천,무한천,VHF/M2M,부자식/레이더식,충청남도 예산군 예산읍 산성리 예산대교,126-49-15,36-41-03,126.8208333,36.68416667,1929-01-01,무,4.861,16.319,8,유,395.21,27.2,최적, ,환경부,현재특보지점,금강,국가,현재특보지점,O,,지류,,4,5,6.1,6.5,,O,"2020-08-03, 2023-07-15",O,45122,O,O,X,●,,,기본
475,475,3101630,예산군(신례원교),Yesan-gun(Sillyewongyo),삽교천,무한천,VHF/M2M,레이더식/레이더식,충청남도 예산군 신암면 종경리 신례원교,126-49-48,36-43-59,126.83,36.73305556,1962-07-01,무,0.704,10.995,8,무,436.57,6.06,최적, ,환경부,,금강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
476,476,3101635,홍성군(삽교천교),Hongseong-gun(Sapgyocheongyo),삽교천,삽교천,VHF/M2M,레이더식,"충청남도 홍성군 홍성읍 구룡리 삽교천교
(충청남도 홍성군 홍성읍 고암리)",126-41-08,36-35-33,126.6855556,36.5925,1962-07-01,무,18.46,27.141,6.5,유,45.91,45.6,우수, - 일시운영정지(수위계 이설 : 2023-10-09 09:30~2023-10-19 13:00),환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
477,477,3101638,예산군(신리교),Yesan-gun(Silligyo),삽교천,덕산천,INMARSAT/M2M,레이더식/압력식,충청남도 예산군 삽교읍 신리 신리교,126-40-15,36-41-17,126.6708333,36.68805556,2010-01-01,무,24.522,29.475,3,무,38.16,4.3,최적, - 결측(동절기 결빙 : 2023-01-24 04:00~2023-01-26 13:50),환경부,,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
478,478,3101640,예산군(충의대교),Yesan-gun(Chunguidaegyo),삽교천,삽교천,VHF/M2M,레이더식/압력식,충청남도 예산군 삽교읍 두리 충의대교,126-43-50,36-41-12,126.7305556,36.68666667,1945-01-01,무,5.828,14.552,7,유,223.12,31.7,최적, ,환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
479,479,3101645,예산군(구만교),Yesan-gun(Gumangyo),삽교천,삽교천,VHF/M2M,부자식,"충청남도 예산군 고덕면 구만리 구만교
(충청남도 예산군 신안면 별리)",126-45-16,36-44-10,126.7544444,36.73611111,1962-07-01,무,0.818,10.138,9,무,353.84,25.3,우수, - 결측(이상치 관측 : 2023-11-12 10:10~2023-11-15 12:30),환경부,,금강,국가,추가,O,,본류,,5.6,7,8.4,6.22,44440.36111,X,,X,,O,O,O,●,,,기본
480,480,3101650,당진시(구양교),Dangjin-si(Guyanggyo),삽교천,삽교천,VHF/M2M,레이더식/레이더식,"충청남도 당진시 합덕읍 옥금리 구양교 
(충청남도 예산군 신암면 신택리)",126-48-54,36-46-27,126.815,36.77416667,2006-01-01,무,-0.226,9.029,10,무,430.65,17.13,최적, ,환경부,,금강,국가,,,,본류,,,,,,,,,,,,,,,,,
481,481,3101655,천안시(신흥교),Cheonan-si(Sinheunggyo),삽교천,풍서천,INMARSAT/M2M,레이더식,충청남도 천안시 동남구 광덕면 매당리 신흥교,127-06-50,36-42-10,127.1138889,36.70277778,2004-12-01,무,45.147,51.821,4,유,48.34,5.57,최적, - 결측(동절기 결빙 : 2023-01-25 00:10~2023-01-28 12:00),환경부,,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
482,482,3101660,천안시(가송교),Cheonan-si(Gasonggyo),삽교천,곡교천,VHF/M2M,레이더식,충청남도 천안시 풍세면 가송리 가송교,127-08-37,36-44-06,127.1436111,36.735,2004-12-01,무,30.25,34.226,3,무,62.61,33.76,우수, ,환경부,,금강,국가,,,,지류,,,,,,,,,,,,,,,,,
483,483,3101667,천안시(눈들교),Cheonan-si(Nundeulgyo),삽교천,천안천,INMARSAT/M2M,레이더식/레이더식,충청남도 천안시 동남구 용곡동 303-1,127-08-26,36-47-22,127.1405556,36.78944444,2023-05-01,무,22.799,30.696,6,유,40.61,6.36, ,- 신규관측소 ,환경부,,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
484,484,3101670,아산시(휴대교),Asan-si(Hyudaegyo),삽교천,천안천,VHF/M2M,레이더식/압력식,충청남도 아산시 배방면 휴대리 휴대교,127-06-49,36-46-51,127.1136111,36.78083333,2004-12-01,무,17.445,23.901,4,유,59.38,3.4,우수,"- 목자판 재설치에 따른 영점표고변경(EL.18.102m → EL.17.445m, 24.01.01 00:10) ",환경부,,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
485,485,3101672,아산시(덕지리),Asan-si(Deokgi-ri),삽교천,율지천,VHF/M2M,레이더식,충청남도 아산시 음봉면 덕지리 524,127-05-02,36-49-51,127.0838889,36.83083333,2016-01-01,무,24.11,29.308,4,무,9.34,0.08,최적, - 결측(통신장비 이상 : 2023-04-18 06:00~2023-04-25 14:20),환경부,,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
486,486,3101673,아산시(새터교),Asan-si(Saeteogyo),삽교천,매곡천,VHF/M2M,부자식/압력식,충청남도 아산시 탕정면 호산리 새터교,127-04-58,36-48-29,127.0827778,36.80805556,2007-01-01,무,17.42,22.685,5,유,29.49,3.78,우수, ,환경부,,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
487,487,3101675,아산시(한내다리),Asan-si(Hannaedari),삽교천,곡교천,VHF/M2M,레이더식/레이더식,충청남도 아산시 탕정면 갈산리 한내대교,127-03-14,36-47-25,127.0538889,36.79027778,2003-11-01,무,7.9,16.027,7.8,유,285.93,22.3,최적, ,환경부,,금강,국가,,,,지류,,,,,,,,,,,,,,,,,
488,488,3101683,아산시(온천교),Asan-si(Oncheongyo),삽교천,온양천,M2M,레이더식,충청남도 아산시 신동 온천교,127-01-56,36-46-29,127.0322222,36.77472222,2007-01-01,무,10.947,17.006,5.2,무,90.62,2.3,우수,"- 교량재가설 공사로 임시이전 지점(신천교)에서 원지점으로 이동에따른 수위, 영점표고 및 영점표고검정수준점 변경(24.10.17 10:30) - 결측(동절기 결빙 : 2023-01-23 00:10~2023-01-30 18:00)",환경부,,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
489,489,3101685,아산시(충무교),Asan-si(Chungmugyo),삽교천,곡교천,VHF/M2M,레이더식/압력식,충청남도 아산시 염치읍 석정리 충무교,127-00-30,36-47-52,127.0083333,36.79777778,2007-01-01,무,5.943,14.542,6,무,402.17,18.1,최적, ,환경부,현재특보지점,금강,국가,현재특보지점,O,,지류,,4,5,6,5.46,,O,44046,X,,O,O,X,●,,,기본
490,490,3101690,아산시(강청교),Asan-si(Gangcheonggyo),삽교천,곡교천,VHF/M2M,부자식/압력식,충청남도 아산시 염치면 가덕리 강청교,126-56-01,36-49-18,126.9336111,36.82166667,1962-07-01,무,1.136,11.217,8,무,490.92,9.71,최적, - 결측(관측장비 이상 : 2023-02-08 14:50~2023-02-09 12:40),환경부,,금강,국가,,,,지류,,,,,,,,,,,,,,,,,
491,491,3101693,당진시(신촌리),Dangjin-si(Sinchon-ri),삽교천,삽교천,VHF/M2M,레이더식/압력식,충청남도 당진시 우강면 신촌리 107-119,126-49-39,36-50-52,126.8275,36.84777778,2007-01-01,무,-1.245,7.051,5,무,1412.42,4.24,최적, ,환경부,,금강,국가,추가선정,,추가선정,본류,,,,,,,,,,,,,,,,,
492,492,3101696,당진시(북창교),Dangjin-si(Bukchanggyo),삽교천,남원천,VHF/M2M,레이더식/레이더식,충청남도 당진군 순성면 중방리 150-4 북창교,126-45-41,36-51-08,126.7613889,36.85222222,2021-12-28,무,1.018,9.53,7,무,43.41,1.02,최적, - 결측(동절기 결빙 : 2023-01-24 00:10~2023-01-31 15:00),환경부,확대특보지점,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
493,493,3201690,당진시(채운교),Dangjin-si(Chaeungyo),금강서해,역천,INMARSAT/M2M,레이더식/압력식,충청남도 당진시 우두동 채운교,126-36-52,36-54-18,126.6144444,36.905,2011-01-01,무,0.247,10,4,무,114.95,7.09,우수,"- 목자판 재설치에 따른 영점표고 수정(EL.1.192m → EL.0.247m, 24.01.01 00:10) ",환경부,확대특보지점,금강,지방,확대특보지점,O,,지류,,4,5,6.2,5.61,,O,"2022-06-30, 2023-07-14",X,,O,O,X,●,,,기본
494,494,3203620,보령시(동대교),Boryeong-si(Dongdaegyo),금강서해,대천천,INMARSAT/M2M,레이더식/레이더식,충청남도 보령시 동대동 동대교,126-35-55,36-20-48,126.5986111,36.34666667,2010-01-01,무,3.079,5.907,4,무,85.17,1.11,최적, - 결측(동절기 결빙 : 2023-01-25 09:00~2023-02-05 16:00),환경부,,금강,지방,,,,지류,,,,,,,,,,,,,,,,,
495,495,3203652,보령시(노천교),Boryeong-si(Nocheongyo),금강서해,웅천천,INMARSAT/M2M,레이더식/압력식,충청남도 보령시 웅천읍 노천리 노천교,126-35-38,36-13-52,126.5938889,36.23111111,2010-01-01,무,-0.544,7.723,6,유,203.23,3.91,최적, ,환경부,확대특보지점,금강,지방,확대특보지점,O,,지류,,3.8,5,6,5.25,,O,45122,X,,X,,X,●,,,기본
496,496,3301612,완주군(대아저수지),Wanjugun(Daeajeosuji),만경강,만경강,"위성, M2M",레이더,전라북도 완주군 동상면 대아리 대아저수지,127-15-39,35-58-54,127.2608333,35.98166667,2022-01-01,무,0,124.547,124,무,107.48,63.08,A,신설(2022),환경부,,영산강,국가,,,,본류,,,,,,,,,,,,,,,,,
497,497,3301619,완주군(경천저수지),Wanjugun(Gyeongcheonjeosuji),만경강,고산천,"위성, M2M",레이더,전라북도 완주군 화산면 성북리 경천저수지,127-14-29,36-01-21,127.2413889,36.0225,2022-01-01,무,0,86.041,86,무,68.61,7.07,A,신설(2022),환경부,,영산강,지방,,,,지류,,,,,,,,,,,,,,,,,
498,498,3301623,완주군(마안교),Wanjugun(Maangyo),만경강,고산천,"위성, M2M",레이더,전라북도 완주군 화산면 종리 111-4 마안교,127-14-27,36-00-29,127.2408333,36.00805556,2016-01-01,무,58.429,64.034,5,무,114.82,5.26,A,(관측소명 변경) 화산 → 완주군(마안교),환경부,,영산강,지방,,,,지류,,,,,,,,,,,,,,,,,
499,499,3301625,완주군(오성교),Wanjugun(Ohseonggyo),만경강,만경강,"VHF, M2M","부자, 수정",전라북도 완주군 고산면 읍내리 945-5 오성교 하류,127-12-54,35-58-24,127.215,35.97333333,2004-01-01,무,43.246,49.99,6.5,유,288.84,57.37,A,(관측소명 변경) 고산 → 완주군(오성교),환경부,,영산강,국가,,,,본류,,,,,,,,,,,,,,,,,
500,500,3301630,완주군(용봉교),Wanjugun(Yongbonggyo),만경강,만경강,"VHF, M2M",레이더,전라북도 완주군 봉동읍 장기리 111-6 용봉교,127-10-15,35-56-31,127.1708333,35.94194444,2000-01-01,무,27.071,34.127,6,유,342.39,49.85,A,(관측소명 변경) 봉동 → 완주군(용봉교),환경부,,영산강,국가,추가,O,,본류,,2.7,3.5,4.3,3.66,,O,40734,X,,O,O,X,●,,,기본
501,501,3301635,완주군(소양용연교),Wanjugun(Soyangyongyeongyo),만경강,소양천,"위성, M2M",레이더,전라북도 완주군 소양면 황운리 212-3 소양용연교,127-14-33,35-51-40,127.2425,35.86111111,2008-01-01,무,60.697,67.217,8,유,64.08,14.1,A,(관측소명 변경) 황운 → 완주군(소양용연교),환경부,,영산강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
502,502,3301640,완주군(제2소양교),Wanjugun(Je2soyanggyo),만경강,소양천,"VHF, M2M",레이더,전라북도 완주군 용진면 상운리 41-18 제2소양교,127-09-19,35-52-41,127.1552778,35.87805556,2000-01-01,무,21.252,30.928,6,무,130.13,3.88,A,(관측소명 변경) 소양 → 완주군(제2소양교),환경부,,영산강,국가,추가,O,,지류,,3.8,4.4,4.9,1900-01-04 11:16,,O,44051,X,,O,O,X,●,,,기본
503,503,3301645,완주군(하리교),Wanjugun(Harigyo),만경강,만경강,"VHF, M2M",레이더,전라북도 완주군 삼례면 하리 724-1 하리교,127-05-56,35-53-50,127.0988889,35.89722222,2000-01-01,무,5.327,16.618,7,유,519.07,40.77,A,(관측소명 변경) 하리 → 완주군(하리교),환경부,,영산강,국가,,,,본류,,,,,,,,,,,,,,,,,
